scenario_id,rho_hat,rho_true,epsilon,policy,n_paths,mean_wealth,median_wealth,std_wealth,cvar_5,certainty_equivalent,mean_abs_inventory,inventory_variance,fill_rate,spread_capture,adverse_selection
rho0.700_eps0.0200,0.7,0.718,0.02,as_poisson,160,-11.997588544365806,-9.218733299842953,9.892228815439282,-44.47018069309973,-13.176242521232,2.4125,9.53317610062893,0.0616,1.8437497855029576,4.964714490542301
rho0.700_eps0.0200,0.7,0.718,0.02,nominal_hawkes,160,-11.997012079868764,-9.218339808718682,9.892196866791764,-44.46955766548614,-13.175659813155825,2.4125,9.53317610062893,0.0616,1.8443262499999995,4.964714490542301
rho0.700_eps0.0200,0.7,0.718,0.02,robust_vol_only,160,-11.99694615486893,-9.218294808718795,9.892193213311854,-44.46948641548632,-13.175593174174487,2.4125,9.53317610062893,0.0616,1.8443921749999994,4.964714490542301
rho0.700_eps0.0200,0.7,0.718,0.02,robust_gamma,160,-11.99592453783438,-9.21783980871875,9.891607125280029,-44.46876599881971,-13.174449371913333,2.40625,9.514740566037736,0.0616,1.8446522222222217,4.964714490542301
rho0.700_eps0.0200,0.7,0.718,0.02,robust_gamma_abs,160,-11.981703556453358,-9.215006475385522,9.886949977509015,-44.39170783773058,-13.159179982637689,2.39375,9.438325471698112,0.061587499999999996,1.8470501388888885,4.963708063581788
rho0.700_eps0.0200,0.7,0.718,0.02,liquidity_guard,160,-11.981703556453358,-9.215006475385522,9.886949977509015,-44.39170783773058,-13.159179982637689,2.39375,9.438325471698112,0.061587499999999996,1.8470501388888885,4.963708063581788
rho0.700_eps0.0200,0.7,0.718,0.02,known_true_gamma_no_ambiguity,160,-11.996915584848418,-9.21827394181058,9.892191519173746,-44.46945337621503,-13.175562273077041,2.4125,9.53317610062893,0.0616,1.8444227450203705,4.964714490542301
rho0.850_eps0.0050,0.85,0.86,0.005,as_poisson,160,-15.9991681866485,-13.78020583801468,10.348094296537157,-48.339332200695,-17.267551834130263,2.68125,11.72794811320755,0.13620000000000002,4.2473266494082775,11.322164589732784
rho0.850_eps0.0050,0.85,0.86,0.005,nominal_hawkes,160,-15.991594111075397,-13.772126942551168,10.345788179435147,-48.3332940678875,-17.25949870432585,2.66875,11.65247641509434,0.136175,4.252593888888884,11.320154940629523
rho0.850_eps0.0050,0.85,0.86,0.005,robust_vol_only,160,-15.991556317325442,-13.772078942551204,10.345786312984735,-48.33325819288763,-17.259460699137204,2.66875,11.65247641509434,0.136175,4.2526316826388815,11.320154940629523
rho0.850_eps0.0050,0.85,0.86,0.005,robust_gamma,160,-15.985111472333978,-13.769993609218474,10.34972462355606,-48.33169962344337,-17.253828080434733,2.66875,11.65247641509434,0.13616250000000002,4.25183541666666,11.319215437964688
rho0.850_eps0.0050,0.85,0.86,0.005,robust_gamma_abs,160,-15.947352123879043,-13.74368249810685,10.362627454166482,-48.31203480862855,-17.219047225089827,2.65625,11.57983490566038,0.13609375,4.264129583333327,11.313242515246534
rho0.850_eps0.0050,0.85,0.86,0.005,liquidity_guard,160,-15.947352123879043,-13.74368249810685,10.362627454166482,-48.31203480862855,-17.219047225089827,2.65625,11.57983490566038,0.13609375,4.264129583333327,11.313242515246534
rho0.850_eps0.0050,0.85,0.86,0.005,known_true_gamma_no_ambiguity,160,-15.990126671122681,-13.770864357517453,10.34521225503224,-48.3323504170939,-17.25791885870687,2.66875,11.65247641509434,0.13616250000000002,4.251618622448973,11.319174661234959
rho0.850_eps0.0200,0.85,0.86,0.02,as_poisson,160,-15.329479732616239,-13.455952684523268,8.529470281597431,-39.90410831473918,-16.128072088931518,2.44375,9.3936713836478,0.14048750000000002,4.369899711538456,11.60729135599723
rho0.850_eps0.0200,0.85,0.86,0.02,nominal_hawkes,160,-15.310434046540447,-13.449051961314922,8.521064465026166,-39.89614513262204,-16.107598140658414,2.4375,9.363364779874212,0.14045625,4.373856944444439,11.605321410258828
rho0.850_eps0.0200,0.85,0.86,0.02,robust_vol_only,160,-15.31027835904078,-13.448887961315336,8.521045851418583,-39.895955882622175,-16.107439261689905,2.4375,9.363364779874212,0.14045625,4.374012631944439,11.605321410258828
rho0.850_eps0.0200,0.85,0.86,0.02,robust_gamma,160,-15.295037358714179,-13.441763072426511,8.520053551018275,-39.887734021511264,-16.092147964886564,2.43125,9.345558176100628,0.14045625,4.373648055555549,11.605763888661361
rho0.850_eps0.0200,0.85,0.86,0.02,robust_gamma_abs,160,-15.12393089524539,-13.273468859706579,8.460527529494207,-39.70095424694421,-15.911839363493039,2.41875,9.215055031446541,0.14013749999999997,4.430868749999992,11.580952694388378
rho0.850_eps0.0200,0.85,0.86,0.02,liquidity_guard,160,-15.12393089524539,-13.273468859706579,8.460527529494207,-39.70095424694421,-15.911839363493039,2.41875,9.215055031446541,0.14013749999999997,4.430868749999992,11.580952694388378
rho0.850_eps0.0200,0.85,0.86,0.02,known_true_gamma_no_ambiguity,160,-15.309410251189249,-13.447973503265317,8.52094207132569,-39.8949006314884,-16.106553359934253,2.4375,9.363364779874212,0.14045625,4.374880739795911,11.605321410258828
rho0.920_eps0.0050,0.92,0.93,0.005,as_poisson,160,-21.552492030155644,-20.04842895192303,9.7390461527148,-48.984280501012464,-22.594447214119285,2.40625,9.476061320754717,0.31584375,10.823128979289942,29.48001707787257
