ticker,event_group,event_types,beta_pair,n_events_raw,event_share,mu,rho,rho_slow,rho_fast,fast_share,beta_slow,beta_fast,neg_loglik,aic,success,n_events_fit,horizon,event_rate_fit,residual_mean,residual_variance,residual_ks_stat,residual_ks_pvalue
INTC,limit,1,"1,20",202231,0.4993530640565353,0.4097527118886956,0.6804273119114739,0.055557859371779324,0.6248694525396945,0.9183485753743411,1.0,20.0,-42396.99486060708,-84787.98972121417,True,30000,23399.933605998,1.2820549196904658,1.0000334020395851,3.0428972848600737,0.35672401257732683,0.0
INTC,cancel_delete,"2,3","1,100",170272,0.4204392250596317,0.3724451182650641,0.7095576764178219,0.14723973181260847,0.5623179446052133,0.7924908196949635,1.0,100.0,-54446.41214887341,-108886.82429774682,True,30000,23399.811731036003,1.2820615971114815,1.0000411043216118,1.806341832765124,0.13371193470429896,0.0
INTC,cancel_delete,"2,3","5,100",170272,0.4204392250596317,0.450854393074862,0.648360801707953,0.0961549735697295,0.5522058281382235,0.8516952701081991,5.0,100.0,-53931.87471131249,-107857.74942262498,True,30000,23399.811731036003,1.2820615971114815,1.0000340499012705,1.881241853502151,0.13496862338477603,0.0
INTC,cancel_delete,"2,3","1,20",170272,0.4204392250596317,0.38654184312844087,0.6985406729101509,0.07908685721372008,0.6194538156964308,0.8867827453994328,1.0,20.0,-39594.78521300135,-79183.5704260027,True,30000,23399.811731036003,1.2820615971114815,1.0000339927602664,2.833880245299195,0.3048601952386244,0.0
INTC,execution,"4,5","1,100",32483,0.08020771088383302,0.12892558700452023,0.8994940397015138,0.056684195434844,0.8428098442666697,0.9369821333628248,1.0,100.0,-120969.0787252702,-241932.1574505404,True,30000,23399.942731388,1.2820544197212447,1.000028965959501,10.735904363595747,0.6701957232627289,0.0
INTC,execution,"4,5","5,100",32483,0.08020771088383302,0.161087840185111,0.8743882923674949,0.03371434321048,0.840673949157015,0.961442366618159,5.0,100.0,-120464.80626310433,-240923.61252620866,True,30000,23399.942731388,1.2820544197212447,1.0000405380328816,10.702487400320726,0.6701957543746829,0.0
INTC,execution,"4,5","1,20",32483,0.08020771088383302,0.13401544219967276,0.8955109965812653,0.02841440891493833,0.867096587666327,0.9682701730928887,1.0,20.0,-88265.70639021508,-176525.41278043017,True,30000,23399.942731388,1.2820544197212447,1.0000311628837995,13.019123855657613,0.6875397310218868,0.0
MSFT,all,all,"1,100",411409,1.0,0.30655853391897875,0.7609266068700361,0.126451224752494,0.6344753821175421,0.8338194201506066,1.0,100.0,-67638.84050977851,-135271.68101955703,True,30000,23399.868323966002,1.2820584964264172,1.0000289437859993,1.9971563216249297,0.21560775573546173,0.0
MSFT,all,all,"5,100",411409,1.0,0.37616815783882557,0.7066176153492919,0.08036000495854352,0.6262576103907483,0.8862751179521325,5.0,100.0,-67270.18236438779,-134534.36472877557,True,30000,23399.868323966002,1.2820584964264172,1.0000362894832122,2.0736606008648537,0.21657737036127087,0.0
MSFT,all,all,"1,20",411409,1.0,0.32424358883990323,0.7471256890382456,0.0596240067792159,0.6875016822590297,0.9201954802866326,1.0,20.0,-48536.78369049741,-97067.56738099482,True,30000,23399.868323966002,1.2820584964264172,1.0000332763522786,3.1140248318498975,0.37886806982852006,0.0
