time_index,inventory,rho_hat,epsilon,ambiguity,rho_worst,value
5,0,0.3,0.005,absolute_gamma,0.305,0.06469687153233267
5,1,0.3,0.005,absolute_gamma,0.305,0.0047752723522366996
5,2,0.3,0.005,absolute_gamma,0.305,-0.17214843852525946
5,3,0.3,0.005,absolute_gamma,0.305,-0.4953653184317661
5,4,0.3,0.005,absolute_gamma,0.305,-0.986322599876234
5,5,0.3,0.005,absolute_gamma,0.305,-1.6218523943320955
6,-5,0.3,0.005,absolute_gamma,0.305,-1.606994277481128
6,-4,0.3,0.005,absolute_gamma,0.305,-0.9799479187652147
6,-3,0.3,0.005,absolute_gamma,0.305,-0.49467654563198504
6,-2,0.3,0.005,absolute_gamma,0.305,-0.1741777554105914
6,-1,0.3,0.005,absolute_gamma,0.305,0.0018292580361351795
6,0,0.3,0.005,absolute_gamma,0.305,0.06142866522768756
6,1,0.3,0.005,absolute_gamma,0.305,0.0018292580361351795
6,2,0.3,0.005,absolute_gamma,0.305,-0.1741777554105914
6,3,0.3,0.005,absolute_gamma,0.305,-0.49467654563198504
6,4,0.3,0.005,absolute_gamma,0.305,-0.9799479187652147
6,5,0.3,0.005,absolute_gamma,0.305,-1.606994277481128
7,-5,0.3,0.005,absolute_gamma,0.305,-1.5916580535020215
7,-4,0.3,0.005,absolute_gamma,0.305,-0.9732507216309659
7,-3,0.3,0.005,absolute_gamma,0.305,-0.4938359956748551
7,-2,0.3,0.005,absolute_gamma,0.305,-0.17615950679575892
7,-1,0.3,0.005,absolute_gamma,0.305,-0.0011118012153028076
7,0,0.3,0.005,absolute_gamma,0.305,0.05815377608532107
7,1,0.3,0.005,absolute_gamma,0.305,-0.0011118012153028076
7,2,0.3,0.005,absolute_gamma,0.305,-0.17615950679575892
7,3,0.3,0.005,absolute_gamma,0.305,-0.4938359956748551
7,4,0.3,0.005,absolute_gamma,0.305,-0.9732507216309659
7,5,0.3,0.005,absolute_gamma,0.305,-1.5916580535020215
8,-5,0.3,0.005,absolute_gamma,0.305,-1.5758351698299298
8,-4,0.3,0.005,absolute_gamma,0.305,-0.9662214030503924
8,-3,0.3,0.005,absolute_gamma,0.305,-0.4928379872457966
8,-2,0.3,0.005,absolute_gamma,0.305,-0.17809143351446177
8,-1,0.3,0.005,absolute_gamma,0.305,-0.0040477224953152525
8,0,0.3,0.005,absolute_gamma,0.305,0.05487001254223357
8,1,0.3,0.005,absolute_gamma,0.305,-0.0040477224953152525
8,2,0.3,0.005,absolute_gamma,0.305,-0.17809143351446177
8,3,0.3,0.005,absolute_gamma,0.305,-0.4928379872457966
8,4,0.3,0.005,absolute_gamma,0.305,-0.9662214030503924
8,5,0.3,0.005,absolute_gamma,0.305,-1.5758351698299298
9,-5,0.3,0.005,absolute_gamma,0.305,-1.559517149897805
9,-4,0.3,0.005,absolute_gamma,0.305,-0.9588501132348767
9,-3,0.3,0.005,absolute_gamma,0.305,-0.4916765104942445
9,-2,0.3,0.005,absolute_gamma,0.305,-0.17997116994023116
9,-1,0.3,0.005,absolute_gamma,0.305,-0.006978198596439934
9,0,0.3,0.005,absolute_gamma,0.305,0.05157331622079268
9,1,0.3,0.005,absolute_gamma,0.305,-0.006978198596439934
9,2,0.3,0.005,absolute_gamma,0.305,-0.17997116994023116
9,3,0.3,0.005,absolute_gamma,0.305,-0.4916765104942445
9,4,0.3,0.005,absolute_gamma,0.305,-0.9588501132348767
9,5,0.3,0.005,absolute_gamma,0.305,-1.5595171498978049
10,-5,0.3,0.005,absolute_gamma,0.305,-1.5426956100910925
10,-4,0.3,0.005,absolute_gamma,0.305,-0.9511267889900465
10,-3,0.3,0.005,absolute_gamma,0.305,-0.4903453525479051
10,-2,0.3,0.005,absolute_gamma,0.305,-0.1817962390953648
10,-1,0.3,0.005,absolute_gamma,0.305,-0.009902903015473996
10,0,0.3,0.005,absolute_gamma,0.305,0.048263002407610896
10,1,0.3,0.005,absolute_gamma,0.305,-0.009902903015473996
10,2,0.3,0.005,absolute_gamma,0.305,-0.1817962390953648
10,3,0.3,0.005,absolute_gamma,0.305,-0.4903453525479051
10,4,0.3,0.005,absolute_gamma,0.305,-0.9511267889900465
10,5,0.3,0.005,absolute_gamma,0.305,-1.5426956100910922
11,-5,0.3,0.005,absolute_gamma,0.305,-1.525362277717911
11,-4,0.3,0.005,absolute_gamma,0.305,-0.9430411533369107
11,-3,0.3,0.005,absolute_gamma,0.305,-0.48883809248300564
11,-2,0.3,0.005,absolute_gamma,0.305,-0.18356404754936828
11,-1,0.3,0.005,absolute_gamma,0.305,-0.012821488680354078
11,0,0.3,0.005,absolute_gamma,0.305,0.04493834861877464
11,1,0.3,0.005,absolute_gamma,0.305,-0.012821488680354078
11,2,0.3,0.005,absolute_gamma,0.305,-0.18356404754936828
11,3,0.3,0.005,absolute_gamma,0.305,-0.48883809248300564
11,4,0.3,0.005,absolute_gamma,0.305,-0.9430411533369107
11,5,0.3,0.005,absolute_gamma,0.305,-1.5253622777179108
12,-5,0.3,0.005,absolute_gamma,0.305,-1.5075090100385211
