scenario_id,path_id,rho_hat,rho_true,epsilon,policy,terminal_wealth,final_inventory,abs_inventory,fills,fill_rate,spread_capture,adverse_selection,inventory_penalty,dt,steps,audit_horizon
rho0.920_eps0.0200_dt0.0400,111,0.92,0.93,0.02,as_poisson,-5.12401896615151,3.0,3.0,253.0,0.8433333333333334,9.485998816568037,30.841041479984156,41.99999999999989,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,112,0.92,0.93,0.02,as_poisson,-2.1531326342341996,2.0,2.0,246.0,0.82,12.42601775147928,43.95030379529243,82.16000000000014,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,113,0.92,0.93,0.02,as_poisson,-9.185852580535755,-3.0,3.0,135.0,0.45,3.9054402366863856,13.136182819299208,50.47999999999979,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,114,0.92,0.93,0.02,as_poisson,-3.5414467187587513,0.0,0.0,104.0,0.3466666666666667,3.445326627218929,10.232637482604815,48.03999999999978,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,115,0.92,0.93,0.02,as_poisson,-17.33794424873862,-1.0,1.0,148.0,0.49333333333333335,6.805421301775142,13.889058816141727,202.35999999999953,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,116,0.92,0.93,0.02,as_poisson,-5.950060036629016,3.0,3.0,134.0,0.44666666666666666,5.740449704142008,12.868771807197504,72.27999999999989,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,117,0.92,0.93,0.02,as_poisson,-9.22012232396629,0.0,0.0,220.0,0.7333333333333333,9.465908875739665,30.86273610329529,75.36000000000023,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,118,0.92,0.93,0.02,as_poisson,-15.06857710949938,-1.0,1.0,273.0,0.91,13.13607455621303,42.63355912601307,74.56000000000003,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,119,0.92,0.93,0.02,as_poisson,-14.162249741917794,-7.0,7.0,41.0,0.13666666666666666,1.775123076923077,3.678736709196613,143.4799999999999,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,120,0.92,0.93,0.02,as_poisson,-10.04913812728858,1.0,1.0,104.0,0.3466666666666667,3.2452603550295813,8.338740418658432,114.87999999999988,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,121,0.92,0.93,0.02,as_poisson,-4.297430629759161,-2.0,2.0,258.0,0.86,11.530994082840252,36.33539523703115,72.40000000000005,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,122,0.92,0.93,0.02,as_poisson,-3.652336411010972,1.0,1.0,168.0,0.56,5.87551124260354,14.747026353759793,79.08000000000003,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,123,0.92,0.93,0.02,as_poisson,-0.9903066816320636,1.0,1.0,261.0,0.87,10.451041420118328,35.788330671665705,41.39999999999987,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,124,0.92,0.93,0.02,as_poisson,-4.725071840148157,1.0,1.0,124.0,0.41333333333333333,3.1603739644970354,10.527185844938018,28.679999999999886,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,125,0.92,0.93,0.02,as_poisson,-10.93331938090391,4.0,4.0,158.0,0.5266666666666666,5.50054911242603,15.289348697352366,78.16000000000001,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,126,0.92,0.93,0.02,as_poisson,-0.852053696464713,-1.0,1.0,208.0,0.6933333333333334,7.815880473372769,28.973177443459363,28.239999999999938,0.04,300,12.0
rho0.920_eps0.0200_dt0.0400,127,0.92,0.93,0.02,as_poisson,-10.894605358926789,1.0,1.0,70.0,0.23333333333333334,2.705175147928991,5.14342752525252,126.43999999999993,0.04,300,12.0
