scenario_id,path_id,rho_hat,rho_true,epsilon,policy,terminal_wealth,final_inventory,abs_inventory,fills,fill_rate,spread_capture,adverse_selection,inventory_penalty,arrival_simulator,dt,steps,audit_horizon,mean_total_events
rho0.920_eps0.0200_discrete,96,0.92,0.93,0.02,as_poisson,-3.515560798146969,4.0,4.0,31.0,0.0775,1.0100899408284025,2.468795189165604,41.399999999999956,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,97,0.92,0.93,0.02,as_poisson,-6.178907474913519,-4.0,4.0,100.0,0.25,2.915260355029584,7.761270859236205,42.61999999999979,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,98,0.92,0.93,0.02,as_poisson,-1.730827245814344,1.0,1.0,31.0,0.0775,0.6200757396449705,2.4559326389732092,24.479999999999887,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,99,0.92,0.93,0.02,as_poisson,-12.549957594703937,1.0,1.0,142.0,0.355,4.670383431952655,12.56196400515259,86.05999999999987,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,100,0.92,0.93,0.02,as_poisson,-15.19691201378608,0.0,0.0,148.0,0.37,4.49041656804733,11.43640627807713,84.7399999999997,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,101,0.92,0.93,0.02,as_poisson,-1.6263569432676288,-4.0,4.0,52.0,0.13,1.2951372781065091,4.043979041296879,27.979999999999837,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,102,0.92,0.93,0.02,as_poisson,-4.942430027778649,1.0,1.0,115.0,0.2875,3.16532662721893,10.247054378790722,33.5199999999999,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,103,0.92,0.93,0.02,as_poisson,-15.829797619592192,-2.0,2.0,102.0,0.255,3.4602556213017697,8.57589239901236,126.15999999999973,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,104,0.92,0.93,0.02,as_poisson,-3.843463355394083,0.0,0.0,81.0,0.2025,2.1702035502958568,6.734957284429129,36.099999999999945,discrete,0.02,400,8.0,226.7875
rho0.920_eps0.0200_discrete,105,0.92,0.93,0.02,as_poisson,-3.0906405766303298,3.0,3.0,23.0,0.0575,0.48006153846153854,1.8370054006018677,19.179999999999954,discrete,0.02,400,8.0,226.7875
