policy,epsilon,rho,one_minus_rho,half_spread,raw_uncapped_half_spread,capped,smooth_region,finite_diff_d_half_drho,analytic_uncapped_d_half_drho,analytic_local_d_half_drho,abs_derivative_error,expected_critical_exponent
robust_gamma_abs,0.005,0.985,0.015000000000000013,0.32518518518518436,0.3251851851851844,False,True,60.44453328952235,60.444444444444244,60.444444444444244,8.884507810336117e-05,4.0
nominal_hawkes,0.005,0.995,0.0050000000000000044,0.09999999999999985,0.09999999999999985,False,True,32.000256001535945,31.99999999999991,31.99999999999991,0.0002560015360337786,3.0
robust_gamma,0.005,0.995,0.0050000000000000044,0.11999999999999982,0.11999999999999982,False,True,40.0003200019201,39.99999999999989,39.99999999999989,0.00032000192020831264,3.0
robust_gamma_abs,0.005,0.995,0.0050000000000000044,1.5,8.09999999999998,True,False,0.0,4831.999999999984,0.0,0.0,4.0
nominal_hawkes,0.01,0.3,0.7,0.020004081632653062,0.020004081632653062,False,True,1.1661807630669035e-05,1.1661807580174929e-05,1.1661807580174929e-05,5.049410562796893e-14,3.0
robust_gamma,0.01,0.3,0.7,0.02000612244897959,0.02000612244897959,False,True,1.7492711446003555e-05,1.7492711370262394e-05,1.7492711370262394e-05,7.574116098305224e-14,3.0
robust_gamma_abs,0.01,0.3,0.7,0.020009912536443148,0.020009912536443148,False,True,3.6651395286765294e-05,3.665139525197835e-05,3.665139525197835e-05,3.478694518858558e-14,4.0
nominal_hawkes,0.01,0.5,0.5,0.020008,0.020008,False,True,3.200000004566347e-05,3.2e-05,3.2e-05,4.566347164757997e-14,3.0
robust_gamma,0.01,0.5,0.5,0.020012000000000002,0.020012000000000002,False,True,4.8000000155231386e-05,4.8e-05,4.8e-05,1.552313846583421e-13,3.0
robust_gamma_abs,0.01,0.5,0.5,0.020024,0.020024,False,True,0.00012800000018265388,0.00012800000000000002,0.00012800000000000002,1.8265385948526558e-13,4.0
nominal_hawkes,0.01,0.7,0.30000000000000004,0.020022222222222223,0.020022222222222223,False,True,0.00014814814843706314,0.00014814814814814806,0.00014814814814814806,2.8891507784269133e-13,3.0
robust_gamma,0.01,0.7,0.30000000000000004,0.020033333333333334,0.020033333333333334,False,True,0.00022222222274233087,0.00022222222222222212,0.00022222222222222212,5.201087499052959e-13,3.0
robust_gamma_abs,0.01,0.7,0.30000000000000004,0.020096296296296296,0.020096296296296296,False,True,0.0008888888918366852,0.0008888888888888885,0.0008888888888888885,2.947796737609587e-12,4.0
nominal_hawkes,0.01,0.85,0.15000000000000002,0.02008888888888889,0.02008888888888889,False,True,0.0011851851956497055,0.0011851851851851845,0.0011851851851851845,1.0464520959832524e-11,3.0
robust_gamma,0.01,0.85,0.15000000000000002,0.020133333333333333,0.020133333333333333,False,True,0.0017777777935612943,0.001777777777777777,0.001777777777777777,1.5783517288286975e-11,3.0
robust_gamma_abs,0.01,0.85,0.15000000000000002,0.02068148148148148,0.02068148148148148,False,True,0.01303703722309695,0.013037037037037031,0.013037037037037031,1.8605991920772613e-10,4.0
nominal_hawkes,0.01,0.92,0.07999999999999996,0.0203125,0.0203125,False,True,0.00781250024416233,0.007812500000000012,0.007812500000000012,2.4416231710067127e-10,3.0
robust_gamma,0.01,0.92,0.07999999999999996,0.02046875,0.02046875,False,True,0.01171875036633023,0.011718750000000019,0.011718750000000019,3.66330210957444e-10,3.0
robust_gamma_abs,0.01,0.92,0.07999999999999996,0.024218750000000008,0.024218750000000008,False,True,0.1542968828734545,0.1542968750000003,0.1542968750000003,7.873454194173846e-09,4.0
nominal_hawkes,0.01,0.97,0.030000000000000027,0.02222222222222222,0.02222222222222222,False,True,0.14814818106998728,0.14814814814814775,0.14814814814814775,3.2921839532296104e-08,3.0
robust_gamma,0.01,0.97,0.030000000000000027,0.023333333333333327,0.023333333333333327,False,True,0.2222222716049809,0.22222222222222165,0.22222222222222165,4.9382759242933005e-08,3.0
robust_gamma_abs,0.01,0.97,0.030000000000000027,0.0962962962962961,0.0962962962962961,False,True,7.555558331961667,7.5555555555555305,7.5555555555555305,2.776406136106857e-06,4.0
nominal_hawkes,0.01,0.985,0.015000000000000013,0.028888888888888874,0.028888888888888874,False,True,1.1851862386839407,1.185185185185182,1.185185185185182,1.0534987586741096e-06,3.0
robust_gamma,0.01,0.985,0.015000000000000013,0.03333333333333331,0.03333333333333331,False,True,1.7777793580261714,1.7777777777777732,1.7777777777777732,1.580248398136419e-06,3.0
robust_gamma_abs,0.01,0.985,0.015000000000000013,0.6214814814814799,0.62148148148148,False,True,119.70388034036127,119.7037037037033,119.7037037037033,0.00017663665796874284,4.0
nominal_hawkes,0.01,0.995,0.0050000000000000044,0.09999999999999985,0.09999999999999985,False,True,32.000256001535945,31.99999999999991,31.99999999999991,0.0002560015360337786,3.0
